speaker_party,health_mentioned,health_topics
PPE,True,"['public health', 'pandemic', 'economic recovery', 'health policies']"
Greens/EFA,,[]
PPE,True,"['public health', 'consumer protection', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
PPE,True,"['COVID-19', 'public health', 'disinformation', 'health care information', 'health policies']"
ALDE,True,"['pandemic', 'economic consequences', 'public health']"
S&D,True,"['pandemic', 'economic crisis', 'health policies', 'public health issues']"
S&D,,[]
GUE/NGL,True,"['refugees', 'human rights', 'legal access', 'climate refugees']"
S&D,,[]
S&D,,[]
PPE,True,"['COVID-19', 'pandemic', 'public health', 'healthcare systems']"
ID,,[]
ID,True,"['public health', 'healthcare systems', 'economic crisis', 'disease control', 'COVID-19']"
S&D,True,"['public health', 'health policies', 'health', 'food safety']"
S&D,,[]
PPE,,[]
ECR,,[]
PPE,,[]
ID,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
S&D,True,"['workers’ rights', 'work environment', 'work and safety']"
ALDE,,[]
ECR,,[]
PPE,True,"['public health', 'vaccines', 'animal welfare', 'consumer protection', 'disease control']"
ID,,"['agriculture', 'jobs', 'farmers', 'aid']"
PPE,,[]
ID,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic']"
Greens/EFA,,[]
ECR,,[]
NI,,[]
PPE,True,"['rule of law', 'public health', 'political harassment']"
Greens/EFA,,[]
ALDE,True,"['migration and asylum', 'trauma', 'post-traumatic stress', 'healthcare systems', 'public health issues']"
PPE,,[]
ECR,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
GUE/NGL,True,"['pandemic', 'public health', 'lives', 'hunger', 'poverty', 'climate protection']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic']"
S&D,,"['agriculture', 'land use', 'water use', 'subsidy']"
S&D,,"['consumer protection', 'access to justice', 'compensation', 'consumer rights']"
PPE,,"['energy poverty', 'financial difficulties', 'energy accounts']"
GUE/NGL,,[]
ECR,,[]
NI,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic']"
ID,,[]
S&D,True,"['public health', 'healthcare systems', 'regional disparities']"
PPE,,[]
ID,True,"['medical emergency', 'public health', 'healthcare']"
ECR,True,"['health', 'budgets', 'social programs']"
PPE,True,"['COVID-19', 'public health issues', 'pandemic', 'health policies']"
S&D,,[]
NI,,[]
PPE,,[]
ID,True,"['public health', 'healthcare systems', 'family policy', 'gender theory']"
ECR,,[]
S&D,,[]
ALDE,,"['gender violence', 'violence against women', 'murders']"
NI,True,"['COVID-19', 'public health', 'healthcare systems', 'pandemic', 'disease control', 'health policies']"
PPE,,[]
S&D,,[]
Greens/EFA,True,"['pandemic', 'health crisis', 'recovery']"
ID,,"['climate measures', 'emission trading system', 'industrial companies', 'employment', 'social benefits']"
ALDE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic']"
GUE/NGL,,"['social', 'environmental', 'cohesion regions', 'climate change']"
S&D,True,"['COVID-19', 'pandemic', 'vaccination', 'public health', 'health policies', 'disease control', 'healthcare systems']"
ALDE,True,"['public health', 'healthcare systems', 'consumer protection']"
S&D,True,"['public health', 'healthcare systems', 'homeless people', 'social categories', 'disease control', 'health policies']"
PPE,,[]
ALDE,,[]
Greens/EFA,,[]
Greens/EFA,,[]
PPE,True,"['public health', 'health policies', 'healthcare systems']"
ECR,,[]
ALDE,True,"['public health', 'animal welfare']"
ECR,True,"['pandemic', 'public health', 'economic security', 'health policies']"
S&D,,[]
ID,,"['gender parity', 'unemployment', 'transfer benefits']"
PPE,,[]
Greens/EFA,,[]
GUE/NGL,True,"['public health services', 'healthcare systems', 'hospitals', 'vaccination', 'disease control', 'public health emergency', 'COVID-19']"
S&D,True,"['public health', 'pandemic', 'health policies', 'environment and health']"
Greens/EFA,True,"['public health', 'healthcare systems', 'health policies', 'vulnerable citizens']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
Greens/EFA,True,"['COVID-19', 'public health', 'healthcare systems', 'health']"
PPE,True,"['pandemic', 'public health', 'disease control', 'healthcare systems']"
ALDE,,[]
ID,,[]
ALDE,,[]
ECR,,[]
S&D,,[]
ALDE,,"['economic policy', 'financial government policy', 'budget rules', 'cyclical policies']"
Greens/EFA,True,"['COVID-19', 'public health issues', 'humanitarian emergency']"
S&D,,[]
ALDE,True,"['COVID-19', 'vaccine', 'public health issues', 'health policies']"
ECR,,[]
Greens/EFA,,[]
PPE,True,"['COVID-19', 'health issues', 'humanitarian consequences', 'economic and social effects', 'development needs']"
ECR,,"['water resources', 'water quality', 'drinking water']"
ECR,,[]
S&D,True,"['damage control', 'citizens’ rights', 'common challenges', 'health policies']"
PPE,True,"['elderly people', 'terminally ill', 'disabled', 'reduced immunity', 'long-term care centers', 'healthcare workers', 'staff remuneration', 'viral transmission', 'mortality', 'isolation', 'public health emergency', 'epidemic', 'protection equipment', 'public health issues']"
S&D,,[]
ID,,[]
ECR,True,"['coronavirus pandemic', 'food safety', 'agriculture', 'public health', 'sustainable agriculture', 'food security']"
PPE,True,"['COVID-19', 'epidemic', 'healthcare systems', 'disease control', 'public health issues']"
GUE/NGL,,[]
PPE,True,"['COVID-19', 'public health issues', 'healthcare systems', 'health sector', 'pandemic']"
S&D,,[]
ECR,True,"['COVID-19', 'public health', 'infection', 'health policies', 'disease control']"
ECR,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic']"
Greens/EFA,,[]
ECR,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic', 'crisis']"
ALDE,True,"['COVID-19', 'public health', 'health security', 'health policies']"
ID,,[]
PPE,,[]
Greens/EFA,,"['human rights', 'democratic reforms', 'trade']"
Greens/EFA,,[]
ECR,,['human rights issues']
ID,,[]
PPE,,[]
ALDE,True,"['health policy', 'public health issues']"
S&D,,[]
S&D,True,"['public health', 'healthcare systems', 'citizens', 'disease control']"
ALDE,,[]
Greens/EFA,True,"['economic crisis', 'public health', 'health system', 'healthcare']"
GUE/NGL,,[]
S&D,,[]
PPE,,[]
S&D,,[]
S&D,,[]
ALDE,,[]
S&D,True,"['COVID-19', 'pandemic', 'public health issues', 'health policies', 'healthcare systems']"
GUE/NGL,,"['healthcare systems', 'public health']"
ID,True,"['public health', 'pandemic', 'health of citizens']"
ALDE,,"['economic crisis', 'COVID-19']"
GUE/NGL,,[]
PPE,,[]
S&D,True,"['COVID-19', 'public health issues', 'health policies', 'healthcare systems']"
GUE/NGL,True,"['climate issues', 'environmental practice', 'emissions', 'public health emergency', 'carbon footprint']"
ALDE,True,"['COVID-19', 'public health crisis', 'disease control', 'health policies', 'vaccination']"
S&D,True,"['public health emergency', 'pandemic', 'healthcare systems', 'health policies']"
PPE,,[]
GUE/NGL,,[]
S&D,,[]
ECR,,[]
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
S&D,,[]
GUE/NGL,,[]
ALDE,,[]
ALDE,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
Greens/EFA,,[]
PPE,,[]
ALDE,,"['climate change', 'droughts', 'floods', 'emissions']"
Greens/EFA,,"['minority rights', 'language rights', 'social services', 'discrimination']"
Greens/EFA,,[]
GUE/NGL,,"['housing', 'social degradation', 'public services']"
ID,,[]
ALDE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
ECR,,[]
S&D,,"['migration', 'asylum', 'security', 'cross-border crime']"
ALDE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic']"
GUE/NGL,,"['conflict', 'poverty', 'displacement', 'environmental damage']"
S&D,,[]
PPE,,[]
GUE/NGL,,[]
PPE,,[]
Greens/EFA,,"['humanitarian disaster', 'war crimes', 'local people', 'negotiation']"
PPE,True,"['public health', 'health policies', 'disease control']"
ECR,True,"['epidemic', 'public health', 'health policies', 'disease control']"
ECR,,[]
ALDE,,[]
GUE/NGL,True,"['COVID-19', 'healthcare', 'health policies', 'health']"
Greens/EFA,True,"['healthcare system', 'public health', 'health policies', 'disease control', 'health emergencies']"
PPE,,"['refugees', 'migration', 'humanitarian aid', 'shelters', 'refugee facilities']"
NI,,[]
S&D,,[]
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
PPE,,[]
PPE,,"['Ammohost', 'Cyprus', 'human right to return', 'healthcare systems']"
ALDE,True,"['public health', 'health of citizens', 'health policies', 'risk management', 'endocrine disruptors', 'neurotoxic drugs', 'health']"
Greens/EFA,,[]
ECR,,[]
PPE,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic', 'vaccination']"
Greens/EFA,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic']"
S&D,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
PPE,,[]
S&D,,"['sustainable recovery', 'energy efficiency', 'transition challenges', 'just transition']"
PPE,True,"['COVID-19', 'public health issues', 'health union', 'healthcare systems']"
NI,True,"['COVID-19', 'public health issues', 'health policies', 'disease control']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
PPE,,[]
S&D,True,"['COVID-19', 'public health crisis', 'public health threats', 'health policies', 'healthcare systems', 'disease control']"
GUE/NGL,True,"['mining disaster', 'public health', 'investments', 'human rights', 'healthcare']"
ALDE,,[]
PPE,True,"['health policy', 'infectious diseases', 'intensive therapy', 'healthcare costs', 'public health emergency', 'disease control', 'COVID-19']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
S&D,,[]
ID,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
PPE,True,"['public health', 'pandemic', 'tourism industry', 'healthcare systems']"
ECR,True,"['drinking water', 'water supply', 'safe drinking water', 'environment', 'public health']"
PPE,True,"['healthcare systems', 'public health issues', 'health policies', 'pandemic', 'disease control']"
PPE,,[]
ECR,,[]
GUE/NGL,True,"['public health service', 'public health issues', 'healthcare systems']"
S&D,,[]
S&D,,[]
GUE/NGL,True,"['public health crisis', 'health', 'human rights']"
PPE,,[]
PPE,,[]
PPE,,[]
NI,,[]
ID,,[]
Greens/EFA,True,"['animal health', 'soil health', 'ecosystems']"
ECR,,"['disinformation', 'information reliability']"
PPE,,"['online rights', 'vulnerable children', 'harmful online content', 'digital education', 'age verification', 'parental control systems']"
ECR,True,"['public health', 'human rights', 'healthcare systems']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'health policies', 'disease control', 'pandemic']"
S&D,True,"['public health', 'healthcare systems', 'pandemic', 'health policies']"
S&D,True,"['COVID-19', 'pandemic', 'public health', 'health policies']"
PPE,,[]
PPE,,"['transition', 'economic impact', 'job creation', 're-qualification']"
S&D,,[]
S&D,,"['climate crisis', 'environmental progress', 'sustainable growth', 'social well-being']"
ALDE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic']"
NI,,[]
NI,,[]
PPE,,[]
ECR,,"['water scarcity', 'water resources', 'water infrastructure', 'water supply']"
ID,True,"['health crisis', 'health or ecological collapse', 'quality matters more than quantity', 'public health']"
Greens/EFA,,"['corruption', 'rule of law', 'public funds', 'judicial independence', 'media freedom']"
ECR,,[]
S&D,,[]
S&D,,[]
ID,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic']"
GUE/NGL,,[]
ID,,[]
PPE,True,"['pandemic', 'public health', 'healthcare systems', 'health policies']"
PPE,True,"['COVID-19 epidemic', 'public health', 'refugees camps', 'health policies', 'disease control']"
ALDE,,[]
GUE/NGL,,[]
Greens/EFA,,[]
S&D,,"['sustainable investment', 'transition fund', 'tax reform']"
PPE,,[]
S&D,,[]
ECR,True,"['public health', 'healthcare systems', 'disease control', 'protests']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'public health emergency']"
PPE,,[]
Greens/EFA,,[]
ALDE,,[]
ECR,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
NI,,[]
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'health damage', 'health policies']"
Greens/EFA,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic']"
ALDE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
ALDE,,[]
S&D,,[]
GUE/NGL,,[]
PPE,,[]
ECR,,[]
ECR,,[]
S&D,,"['citizens’ rights', 'vulnerable citizens', 'Brexit implications']"
S&D,True,"['pandemic', 'public health issues', 'disease control', 'health policies']"
NI,,[]
S&D,,[]
GUE/NGL,,[]
S&D,True,"['health crisis', 'public health', 'vaccines', 'testing strategies', 'quarantine period', 'health policies']"
S&D,,[]
ALDE,True,"['human rights violations', 'deteriorating health', 'imprisoned']"
GUE/NGL,,[]
PPE,,[]
Greens/EFA,,"['financial supervision', 'capital market union', 'economic nationalism']"
S&D,,[]
GUE/NGL,,[]
PPE,,[]
ID,,[]
ECR,True,"['COVID-19', 'health crisis', 'health emergency', 'health policies']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control']"
Greens/EFA,,"['human rights', 'refugees', 'border security', 'humanitarian crises']"
NI,True,"['COVID-19', 'public health', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
PPE,,[]
ECR,,[]
ID,,[]
PPE,,[]
S&D,True,"['COVID-19', 'public health issues', 'pandemic', 'health policies']"
S&D,,[]
ALDE,,"['ecological pact', 'Green Deal', 'inclusive society', 'job creation', 'digital technologies', 'vocational education', 'economic growth']"
NI,True,"['healthcare systems', 'public health issues', 'organ transplantation', 'health system']"
PPE,,[]
S&D,,[]
PPE,,"['energy security', 'Cohesion Policy']"
ID,,[]
S&D,,"['social consequences', 'energy-consuming industry', 'transformation']"
GUE/NGL,,"['food security', 'agriculture']"
S&D,,[]
PPE,,"['electronic waste', 'environmental impact', 'natural resources']"
ID,,[]
ID,,[]
ALDE,,[]
S&D,,[]
NI,,[]
S&D,,[]
GUE/NGL,True,"['public health', 'healthcare systems', 'protests', 'human rights']"
GUE/NGL,,[]
Greens/EFA,,[]
S&D,,[]
NI,True,"['public health', 'health impact', 'health of citizens', 'disease control']"
PPE,,"['social protection', 'environmental protection', 'consumer protection', 'data protection', 'financial services']"
PPE,,[]
PPE,,[]
Greens/EFA,,[]
Greens/EFA,,"['climate change', 'emissions reduction', 'climate neutrality']"
S&D,,[]
GUE/NGL,,[]
ID,,[]
Greens/EFA,,[]
Greens/EFA,True,"['vaccines', 'public health', 'healthcare systems']"
S&D,,[]
NI,,[]
Greens/EFA,True,"['public health', 'healthcare systems']"
Greens/EFA,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'health policies', 'pandemic', 'disease control']"
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
S&D,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
PPE,,[]
ALDE,,"['tax haven', 'money laundering', 'tax avoidance', 'welfare state']"
PPE,,[]
ECR,,"['fishermen', 'fishing', 'healthcare systems']"
ID,True,"['health crisis', 'public health', 'disease control', 'vaccination']"
S&D,,[]
ALDE,True,"['regional development', 'research and innovation', 'education', 'healthcare systems']"
S&D,,[]
ECR,,[]
PPE,,[]
ID,,[]
S&D,,[]
ALDE,,"['homelessness', 'poverty', 'social housing', 'social investment']"
ALDE,True,"['public health', 'healthcare systems', 'health policies', 'health']"
ID,,[]
PPE,True,"['COVID-19', 'vaccination', 'public health', 'healthcare systems', 'disease control', 'public health emergency']"
PPE,,[]
PPE,True,"['COVID-19', 'healthcare systems', 'public health issues', 'disease control', 'health policies', 'pandemic']"
ID,,[]
PPE,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
PPE,,[]
ECR,,[]
ECR,,[]
ECR,True,"['COVID-19', 'outbreak', 'disease', 'public health', 'health policies']"
ALDE,True,"['pandemic', 'public health']"
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
S&D,,"['deforestation', 'forests', 'ecosystems', 'consumption', 'human rights']"
ALDE,,[]
NI,True,"['social security', 'health', 'care services', 'public health']"
PPE,,[]
S&D,True,"['child labour', 'health', 'dangerous conditions', 'breathing harmful powder', 'wounds']"
ID,,[]
ECR,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
NI,,"['public health', 'healthcare systems', 'disease control']"
GUE/NGL,True,"['social security', 'healthcare systems', 'workers', 'social contributions']"
S&D,,[]
S&D,,"['ecological transition', 'climate emergency']"
S&D,True,"['COVID-19', 'public health', 'healthcare systems', 'disease control']"
NI,,[]
PPE,,[]
PPE,True,"['pandemic', 'disinformation', 'public health']"
Greens/EFA,,[]
S&D,,[]
GUE/NGL,,[]
PPE,True,"['COVID-19', 'public health', 'pandemic', 'epidemic', 'health policies']"
Greens/EFA,,[]
NI,,[]
PPE,True,"['COVID-19 pandemic', 'health', 'socio-economic ruins', 'vulnerable groups', 'unemployed', 'health policies', 'public health emergency']"
PPE,True,"['economic crisis', 'migration crises', 'terrorist attacks', 'epidemic situation', 'demographic challenges', 'aging societies', 'public health']"
Greens/EFA,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
ID,,"['agriculture', 'food security', 'supply chains', 'regional development']"
PPE,,[]
ALDE,,[]
PPE,,[]
Greens/EFA,,"['climate change', 'ecological impact', 'agricultural impact', 'damage assessment', 'disaster relief', 'regional development fund', 'solidarity fund', 'coastline protection']"
ECR,,[]
ALDE,True,"['public health', 'health of consumers', 'health policies']"
ALDE,,[]
PPE,,[]
ID,,[]
Greens/EFA,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control']"
PPE,True,"['forest health', 'renewable resources', 'public health']"
S&D,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
GUE/NGL,,[]
ECR,,[]
NI,,[]
ALDE,True,"['public health', 'healthcare systems', 'disease control', 'pandemic', 'health policies', 'health']"
ALDE,,[]
GUE/NGL,,[]
S&D,True,"['COVID-19', 'public health issues', 'healthcare systems', 'disease control', 'pandemic']"
GUE/NGL,,[]
ALDE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
ALDE,,[]
PPE,,[]
S&D,True,"['comitology', 'delegated powers', 'transparency', 'democracy', 'healthcare systems']"
ECR,,[]
Greens/EFA,True,"['healthcare', 'health care', 'public health']"
ID,,[]
ID,,[]
S&D,,[]
Greens/EFA,,[]
ALDE,,[]
ID,,[]
ECR,,[]
ALDE,,[]
S&D,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'health policies', 'pandemic', 'disease control']"
ALDE,True,"['health crisis', 'health policies', 'public health']"
ID,,[]
PPE,,[]
ECR,,[]
ID,,[]
ECR,,[]
ECR,,[]
ID,True,"['public health', 'healthcare systems', 'health policies', 'fundamental freedoms']"
ID,,[]
S&D,,[]
S&D,True,"['public health', 'healthcare systems', 'medical capacities', 'health', 'disease control', 'patient care', 'health policies', 'emergency situations']"
ECR,True,"['child sexual abuse', 'child protection', 'forced marriages', 'rape', 'exploitation', 'public health issues']"
S&D,True,"['health reform', 'healthcare system', 'health standards', 'pharmaceutical purchasing', 'medicinal product', 'pharmaceutical patenting', 'research and innovation', 'health crisis unit', 'health policy']"
S&D,True,"['COVID-19', 'public health', 'social inequalities', 'poverty', 'employment', 'health policies', 'social rights']"
GUE/NGL,,[]
PPE,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
S&D,True,"['public health', 'healthcare systems', 'well-being', 'refugees', 'demographic challenge']"
ALDE,,[]
PPE,True,"['COVID-19', 'healthcare systems', 'public health issues']"
ECR,,[]
PPE,,[]
S&D,,"['child labour', 'women labour', 'employment']"
S&D,,[]
ID,,[]
ALDE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
ALDE,True,"['public health', 'healthcare systems', 'health policies', 'pandemic']"
ID,,[]
ECR,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'health policies', 'pandemic', 'disease control']"
ID,,[]
S&D,True,"['health', 'consumer health', 'food safety', 'public health']"
S&D,,"['humanitarian crisis', 'regional derivative']"
ID,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
GUE/NGL,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'disease control', 'pandemic', 'health policies']"
ALDE,,[]
PPE,,[]
S&D,True,"['pandemic', 'public health issues', 'healthcare systems']"
ID,,[]
ALDE,True,"['public health', 'healthcare systems', 'drug authorization', 'hygiene', 'ECDC', 'CDC', 'vaccination', 'disease control', 'COVID-19']"
ALDE,,[]
GUE/NGL,True,"['health budget', 'health crisis', 'pandemic', 'healthcare systems']"
PPE,,[]
ALDE,,[]
PPE,True,"['COVID-19', 'public health issues', 'vaccination', 'healthcare systems', 'hospitals', 'public health emergency', 'disease control', 'pandemic', 'health policies']"
PPE,,[]
S&D,,[]
ID,,[]
ECR,,[]
